"No.","Time","Source","Destination","Protocol","Length","Type","Code","Timestamp from icmp data","Info"
"354","166.212444135","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:36.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=160/40960, ttl=64 (request in 353)"
"355","167.231213826","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:37.000000000 PDT","Echo (ping) request  id=0x0e90, seq=161/41216, ttl=64 (reply in 356)"
"356","167.231251167","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:37.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=161/41216, ttl=64 (request in 355)"
"357","168.255162654","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:38.000000000 PDT","Echo (ping) request  id=0x0e90, seq=162/41472, ttl=64 (reply in 358)"
"358","168.255202415","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:38.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=162/41472, ttl=64 (request in 357)"
"359","169.279462779","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:39.000000000 PDT","Echo (ping) request  id=0x0e90, seq=163/41728, ttl=64 (reply in 360)"
"360","169.279515388","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:39.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=163/41728, ttl=64 (request in 359)"
"361","170.303850419","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:40.000000000 PDT","Echo (ping) request  id=0x0e90, seq=164/41984, ttl=64 (reply in 362)"
"362","170.303976874","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:40.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=164/41984, ttl=64 (request in 361)"
"363","171.332646719","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:41.000000000 PDT","Echo (ping) request  id=0x0e90, seq=165/42240, ttl=64 (reply in 364)"
"364","171.332698468","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:41.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=165/42240, ttl=64 (request in 363)"
"365","172.351364811","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:42.000000000 PDT","Echo (ping) request  id=0x0e90, seq=166/42496, ttl=64 (reply in 366)"
"366","172.351451866","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:42.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=166/42496, ttl=64 (request in 365)"
"367","173.375272762","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:43.000000000 PDT","Echo (ping) request  id=0x0e90, seq=167/42752, ttl=64 (reply in 368)"
"368","173.375305532","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:43.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=167/42752, ttl=64 (request in 367)"
"369","174.080033320","fe80::41f:58ff:fe7a:fb3e","ff02::2","ICMPv6","70","","","","Router Solicitation from 06:1f:58:7a:fb:3e"
"370","174.399187713","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:44.000000000 PDT","Echo (ping) request  id=0x0e90, seq=168/43008, ttl=64 (reply in 371)"
"371","174.399226211","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:44.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=168/43008, ttl=64 (request in 370)"
"372","175.423109250","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:45.000000000 PDT","Echo (ping) request  id=0x0e90, seq=169/43264, ttl=64 (reply in 373)"
"373","175.423152062","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:45.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=169/43264, ttl=64 (request in 372)"
"374","176.128547386","fe80::34fd:d2ff:feef:6847","ff02::2","ICMPv6","70","","","","Router Solicitation from 36:fd:d2:ef:68:47"
"375","176.447646968","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:46.000000000 PDT","Echo (ping) request  id=0x0e90, seq=170/43520, ttl=64 (reply in 376)"
"376","176.447677179","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:46.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=170/43520, ttl=64 (request in 375)"
"377","177.471216187","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:47.000000000 PDT","Echo (ping) request  id=0x0e90, seq=171/43776, ttl=64 (reply in 378)"
"378","177.471241205","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:47.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=171/43776, ttl=64 (request in 377)"
"379","178.176650519","fe80::6449:bfff:fe72:8496","ff02::2","ICMPv6","70","","","","Router Solicitation from 66:49:bf:72:84:96"
"380","178.176900208","fe80::dc1d:34ff:fed9:cc1b","ff02::2","ICMPv6","70","","","","Router Solicitation from de:1d:34:d9:cc:1b"
"381","178.498975846","10.0.0.1","10.0.0.2","ICMP","98","8","0","Jun 14, 2023 02:13:48.000000000 PDT","Echo (ping) request  id=0x0e90, seq=172/44032, ttl=64 (reply in 382)"
"382","178.499005101","10.0.0.2","10.0.0.1","ICMP","98","0","0","Jun 14, 2023 02:13:48.000000000 PDT","Echo (ping) reply    id=0x0e90, seq=172/44032, ttl=64 (request in 381)"
