,Unnamed: 0,Duration,N_Packets,N_Bytes,Idle_timeout,Protocol,Source_ip,Destination_ip,arrival_frequency
220,479,58.562,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
221,501,58.438,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.073089811
222,514,58.382,160,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
223,543,58.294,40,2400,60,udp,10.0.1.10,10.0.1.3,0.054817359
224,555,58.264,120,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
225,594,58.065,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.073089811
226,634,57.93,160,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
227,665,57.83,40,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
228,676,57.802,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
229,693,57.778,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
230,711,57.719,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.054817359
231,715,57.691,120,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
232,725,57.658,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.036544906
233,737,57.61,80,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
234,750,57.546,40,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
235,753,57.525,40,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
236,764,57.471,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
237,770,57.441,40,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
238,784,57.388,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
239,798,57.363,40,2400,60,udp,10.0.1.10,10.0.1.3,0.018272453
240,814,57.332,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
241,824,57.272,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
242,829,57.256,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
243,837,57.201,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
244,845,57.131,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
245,860,57.066,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
246,870,57.035,40,2400,60,tcp,10.0.1.10,10.0.1.3,0.018272453
247,915,56.754,40,2480,60,icmp,10.0.1.10,10.0.1.3,0.018272453
248,921,56.728,40,2480,60,icmp,10.0.1.10,10.0.1.3,0.073089811
249,926,56.706,160,2480,60,tcp,10.0.1.10,10.0.1.3,0.018272453
250,939,56.538,40,2640,60,tcp,10.0.1.10,10.0.1.3,0.018272453
251,950,56.512,40,2640,60,icmp,10.0.1.10,10.0.1.3,0.018272453
252,955,56.486,40,2640,60,tcp,10.0.1.10,10.0.1.3,0.073089811
253,970,56.441,160,2640,60,tcp,10.0.1.10,10.0.1.3,0.018272453
254,1000,56.335,40,2640,60,udp,10.0.1.10,10.0.1.3,0.036544906
255,1015,56.295,80,2640,60,udp,10.0.1.10,10.0.1.3,0.054817359
256,1024,56.275,120,2640,60,tcp,10.0.1.10,10.0.1.3,0.036544906
257,1032,56.221,80,2640,60,icmp,10.0.1.10,10.0.1.3,0.018272453
258,1056,56.109,40,2800,60,tcp,10.0.1.10,10.0.1.3,0.018272453
259,1079,55.995,40,2800,60,tcp,10.0.1.10,10.0.1.3,0.018272453
260,1126,55.811,40,2800,60,tcp,10.0.1.10,10.0.1.3,0.054817359
261,1134,55.77,120,2800,60,udp,10.0.1.10,10.0.1.3,0.018272453
262,1157,55.638,40,3080,60,tcp,10.0.1.10,10.0.1.3,0.036544906
263,1184,55.52,80,3200,60,tcp,10.0.1.10,10.0.1.3,0.018272453
264,1205,55.453,40,3280,60,tcp,10.0.1.10,10.0.1.3,0.036544906
265,1237,55.3,80,3480,60,tcp,10.0.1.10,10.0.1.3,0.018272453
266,1257,55.23,40,3560,60,tcp,10.0.1.10,10.0.1.3,0.018272453
267,1273,55.209,40,3560,60,tcp,10.0.1.10,10.0.1.3,0.018272453
268,1282,55.185,40,3600,60,tcp,10.0.1.10,10.0.1.3,0.018272453
269,1302,55.13,40,3640,60,udp,10.0.1.10,10.0.1.3,0.018272453
270,1320,55.079,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.054817359
271,1338,54.992,120,3840,60,udp,10.0.1.10,10.0.1.3,0.018272453
272,1358,54.933,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
273,1368,54.899,40,3840,60,icmp,10.0.1.10,10.0.1.3,0.018272453
274,1374,54.859,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.12790717
275,1389,54.792,280,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
276,1418,54.715,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
277,1438,54.619,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
278,1458,54.546,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
279,1464,54.518,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
280,1468,54.497,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.036544906
281,1491,54.419,80,3840,60,udp,10.0.1.10,10.0.1.3,0.018272453
282,1505,54.364,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
283,1519,54.338,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
284,1544,54.261,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
285,1552,54.234,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
286,1603,54.091,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
287,1615,54.042,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.054817359
288,1681,53.718,120,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
289,1688,53.693,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
290,1694,53.664,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
291,1704,53.639,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.054817359
292,1712,53.612,120,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
293,1726,53.557,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
294,1736,53.55,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
295,1752,53.503,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
296,1764,53.444,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.036544906
297,1769,53.421,80,3840,60,tcp,10.0.1.10,10.0.1.3,0.054817359
298,1817,53.217,120,3840,60,tcp,10.0.1.10,10.0.1.3,0.054817359
299,1822,53.19,120,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
300,1850,53.119,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
301,1853,53.092,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.054817359
302,1870,52.969,120,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
303,1877,52.944,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.036544906
304,1885,52.903,80,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
305,1898,52.862,40,3840,60,udp,10.0.1.10,10.0.1.3,0.018272453
306,1910,52.753,40,3840,60,udp,10.0.1.10,10.0.1.3,0.018272453
307,1923,52.692,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
308,1937,52.608,40,3840,60,udp,10.0.1.10,10.0.1.3,0.018272453
309,1950,52.563,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
310,1976,52.475,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
311,2000,52.399,40,3840,60,tcp,10.0.1.10,10.0.1.3,0.018272453
312,2018,52.338,40,3840,60,udp,10.0.1.10,10.0.1.3,0.018272453
